Landmark,POS,Visibilidad
NOSE,[ 0.48776573  0.1077193  -0.55633378],0.9999936819076538
LEFT_EAR,[ 0.53338897  0.10104612 -0.33637345],0.999968409538269
RIGHT_EAR,[ 0.45880985  0.09699157 -0.31214499],0.999951958656311
LEFT_SHOULDER,[ 0.6067282   0.22897339 -0.23261942],0.9999842643737793
RIGHT_SHOULDER,[ 0.39605087  0.22499388 -0.14949076],0.9999314546585083
LEFT_ELBOW,[ 0.64435756  0.37893933 -0.17611705],0.9969522953033447
RIGHT_ELBOW,[ 0.36643922  0.36544865 -0.05390486],0.9603700041770935
LEFT_WRIST,[ 0.62899965  0.50143397 -0.38357025],0.9920324087142944
RIGHT_WRIST,[ 0.36733508  0.50649548 -0.23862208],0.9205470085144043
LEFT_HIP,[ 0.55603695  0.51137692 -0.02652484],0.9994713664054871
RIGHT_HIP,[0.43814585 0.51035601 0.02658804],0.9994262456893921
LEFT_KNEE,[ 5.46462953e-01  7.18025625e-01 -5.94773854e-04],0.9857515692710876
RIGHT_KNEE,[0.42949763 0.7189697  0.03801061],0.9857865571975708
LEFT_ANKLE,[0.56046504 0.90726566 0.23092458],0.9808192849159241
RIGHT_ANKLE,[0.4143666  0.90494549 0.26978856],0.9753696322441101
